
> -- bases=[17] | base_names=[Berber] | members=32 --
  jerba-berber | Jerba Berber | North Africa | Berber | Afroasiatic | 
  lisan-al-gharbi | Lisan al-Gharbi | North Africa | Berber | Afroasiatic | 
  matmata-berber | Matmata Berber | North Africa | Berber | Afroasiatic | 
  ouargli | Ouargli language | North Africa | Berber | Afroasiatic | 
  sanhaja-de-srair | Sanhaja de Srair language | North Africa | Berber | Afroasiatic | 
  sened | Sened language | North Africa | Berber | Afroasiatic | 
  sheliff-basin-berber | Sheliff Basin Berber | North Africa | Berber | Afroasiatic | 
  sokna | Sokna language | North Africa | Berber | Afroasiatic | 
  south-oran-figuig-berber | South Oran and Figuig Berber | North Africa | Berber | Afroasiatic | 
  tawellemmet | Tawellemmet language | North Africa | Berber | Afroasiatic | 
  east-zenati | East Zenati | Africa | Zenati Berber | Afroasiatic | 
  east-zenati-languages | East Zenati family | Africa | Zenati Berber | Afroasiatic | family
  eastern-berber | Eastern Berber | Africa | Eastern Berber | Afroasiatic | 
  eastern-morocco-zenati | Eastern Morocco Zenati | Africa | Zenati Berber | Afroasiatic | 
  mzab-wargla | MzabΓÇôWargla Berber | Africa | Zenati Berber | Afroasiatic | 
  northern-berber | Northern Berber | Africa | Northern Berber | Afroasiatic | 
  northern-berber-languages | Northern Berber family | Africa | Northern Berber | Afroasiatic | family
  proto-berber | Proto-Berber | Africa | Proto-Berber | Afroasiatic | proto,extinct,historical
  shenwa-language | Shenwa language | Africa | Zenati Berber | Afroasiatic | 
  standard-algerian-berber | Standard Algerian Berber | Africa | Northern Berber | Afroasiatic | 
  tagdal-language | Tagdal Tuareg Berber | Africa | Tuareg Berber | Afroasiatic | 
  tamahaq-language | Tamahaq language | Africa | Tuareg Berber | Afroasiatic | 
  tetserret-language | Tetserret Tuareg Berber | Africa | Tuareg Berber | Afroasiatic | 
  tidikelt-language | Tidikelt Berber | Africa | Zenati Berber | Afroasiatic | 
  tuareg-berber | Tuareg Berber | Africa | Tuareg Berber | Afroasiatic | 
  tuareg-languages | Tuareg languages | Africa | Tuareg Berber | Afroasiatic | family
  tuwat-language | Tuwat Berber | Africa | Zenati Berber | Afroasiatic | 
  western-berber | Western Berber | Africa | Western Berber | Afroasiatic | 
  western-berber-languages | Western Berber family | Africa | Western Berber | Afroasiatic | family
  zenaga-language | Zenaga Berber | Africa | Zenaga Berber | Afroasiatic | 
  zenati-languages | Zenati languages | Africa | Zenati Berber | Afroasiatic | family
  gurara | Gurara language | North Africa | Berber | Afroasiatic | 
  
  -- bases=[19] | base_names=[Inuit] | members=20 --
  naukan | Naukan | Arctic | Yupik | Eskimo-Aleut | 
  nivkh | Nivkh | Siberia | Nivkh | Nivkh | 
  omok | Omok | Siberia | Extinct | Yukaghir | extinct
  proto-samoyedic | Proto-Samoyedic | Eurasia | Proto-Samoyedic | Uralic | proto,extinct,historical
  pumpokol | Pumpokol | Siberia | Southern | Yeniseian | extinct
  sirenik | Sirenik | Arctic | Yupik | Eskimo-Aleut | 
  southern-itelmen | Southern Itelmen | Siberia | Itelmen | Chukotko-Kamchatkan | extinct
  western-itelmen | Western Itelmen | Siberia | Itelmen | Chukotko-Kamchatkan | 
  yeniseian | Yeniseian | Siberia | Yeniseian | Yeniseian | 
  yugh | Yugh | Siberia | Northern | Yeniseian | 
  yuit | Yuit | Arctic | Yupik | Eskimo-Aleut | 
  eastern-itelmen | Eastern Itelmen | Siberia | Itelmen | Chukotko-Kamchatkan | extinct
  itelmen | Itelmen | Siberia | Itelmen | Chukotko-Kamchatkan | 
  jie | Jie | Siberia | Southern | Yeniseian | extinct
  kamchatkan | Kamchatkan | Siberia | Kamchatkan | Chukotko-Kamchatkan | 
  karasuk | Karasuk | Eurasia | Proposed Groupings | Hypothetical | hypothetical,proto
  kerek | Kerek | Siberia | Chukotkan | Chukotko-Kamchatkan | extinct
  ket | Ket | Siberia | Northern | Yeniseian | 
  koryak | Koryak | Siberia | Chukotkan | Chukotko-Kamchatkan | 
  kott | Kott | Siberia | Southern | Yeniseian | extinct
  
  -- bases=[196,197,198] | base_names=[Maori,Samoan,Fijian] | members=14 --
  loyalties-new-caledonia | Loyalties-New Caledonia | Pacific | Austronesian | Austronesian | 
  north-vanuatu | North Vanuatu | Pacific | Austronesian | Austronesian | 
  south-vanuatu | South Vanuatu | Pacific | Austronesian | Austronesian | 
  southeast-solomonic | Southeast Solomonic | Pacific | Austronesian | Austronesian | 
  southern-oceanic | Southern Oceanic | Pacific | Austronesian | Austronesian | 
  st-matthias | St. Matthias | Pacific | Austronesian | Austronesian | 
  temotu | Temotu | Pacific | Austronesian | Austronesian | 
  vanuatu | Vanuatu | Pacific | Austronesian | Austronesian | 
  western-oceanic | Western Oceanic | Pacific | Austronesian | Austronesian | 
  admiralty | Admiralty | Pacific | Austronesian | Austronesian | family
  central-vanuatu | Central Vanuatu | Pacific | Austronesian | Austronesian | family
  eastern-oceanic | Eastern Oceanic | Pacific | Austronesian | Austronesian | family
  meso-melanesian | Meso-Melanesian | Pacific | Austronesian | Austronesian | family
  oceanic | Oceanic | Pacific | Austronesian | Austronesian | family
  
  -- bases=[193,194] | base_names=[Tagalog,Indonesian] | members=10 --
  kalamian | Kalamian | Pacific | Austronesian | Austronesian | 
