i|name|filename|seedCount|d|m|min|max|region|family|seeds25|reviewed
1|English|namebases-europe.js|30|lnrt|0.1|6|11|Europe|Germanic|YES|NO
2|French|namebases-europe.js|30|nlrs|0.1|5|13|Europe|Oïl Dialects|YES|NO
3|Italian|namebases-europe.js|30|cltr|0.1|5|12|Europe|Italian|YES|NO
4|Castillian|namebases-europe.js|30|lr|0|5|11|||YES|NO
5|Nordic|namebases-europe.js|27|kln|0.1|6|10|||YES|NO
6|Greek|namebases-europe.js|26|s|0.1|5|11|Europe|Indo-European|YES|NO
7|Roman|namebases-europe.js|26|ln|0.1|6|11|||YES|NO
8|Finnic|namebases-europe.js|26|akiut|0|5|11|||YES|NO
10|Ancient Egyptian|namebases-asia.js|26|ae|0|4|9|Middle East|Egyptian|YES|NO
11|Japanese|namebases-asia.js|26|eo|0|4|10|Asia|Japonic|YES|NO
12|Portuguese|namebases-europe.js|26|lnrt|0.1|5|11|Europe|Portuguese|YES|NO
13|Nahuatl|namebases-northAmerica.js|26|l|0|6|13|North America|Uto-Aztecan|YES|NO
14|Hungarian|namebases-europe.js|26|lr|0.1|6|13|Europe|Hungarian|YES|NO
15|Turkish|namebases-asia.js|26|lnot|0|4|10|Middle East|Oghuz Turkic|YES|NO
16|Berber|namebases-africa.js|27|s|0.2|4|10|Africa|Berber|YES|NO
17|Arabic|namebases-asia.js|25|ae|0.2|4|9|Middle East|Arabic|YES|NO
19|Basque|namebases-europe.js|27|r|0.1|4|11|Europe|Language isolate|YES|NO
20|Nigerian|namebases-africa.js|26|lnrt|0.3|4|10|||YES|NO
21|Celtic|namebases-europe.js|27|nld|0|4|12|||YES|NO
23|Mesopotamian|namebases-asia.js|26|srpl|0.1|4|9|||YES|NO
24|Iranian|namebases-asia.js|29|r|0.1|5|11|||YES|NO
25|Karnataka|namebases-asia.js|25|tnl|0|5|11|||YES|NO
26|Quechua|namebases-southAmerica.js|27|l|0|6|12|South America|Quechuan|YES|NO
