i,name,file,seeds,d,m,min,max,region,family,reviewed
1,English,namebases-europe.js,30,lnrt,0,6,11,Europe,Germanic,[ ]
2,French,namebases-europe.js,30,nlrs,0,5,13,Europe,Oïl Dialects,[ ]
3,Italian,namebases-europe.js,30,cltr,0,5,12,Europe,Italian,[ ]
4,Castillian,namebases-europe.js,30,lr,0,5,11,None,None,[ ]
5,Nordic,namebases-europe.js,27,kln,0,6,10,None,None,[ ]
6,Greek,namebases-europe.js,26,s,0,5,11,Europe,Indo-European,[ ]
7,Roman,namebases-europe.js,26,ln,0,6,11,None,None,[ ]
8,Finnic,namebases-europe.js,26,akiut,0,5,11,None,None,[ ]
10,Ancient Egyptian,namebases-asia.js,26,ae,0,4,9,Middle East,Egyptian,[ ]
11,Japanese,namebases-asia.js,26,eo,0,4,10,Asia,Japonic,[ ]
12,Portuguese,namebases-europe.js,26,lnrs,0,5,11,Europe,Portuguese,[ ]
13,Nahuatl,namebases-northAmerica.js,26,l,0,6,13,North America,Uto-Aztecan,[ ]
14,Hungarian,namebases-europe.js,26,akiut,0,6,13,Europe,Hungarian,[ ]
15,Turkish,namebases-asia.js,26,lnot,0,4,10,Middle East,Oghuz Turkic,[ ]
16,Berber,namebases-africa.js,27,s,0,4,10,Africa,Berber,[ ]
17,Arabic,namebases-asia.js,25,bns,0,4,9,Middle East,Arabic,[ ]
19,Basque,namebases-europe.js,27,r,0,4,11,Europe,Language isolate,[ ]
20,Nigerian,namebases-africa.js,26,lnrt,0,4,10,None,None,[ ]
21,Celtic,namebases-europe.js,27,nld,0,4,12,None,None,[ ]
23,Mesopotamian,namebases-asia.js,26,srpl,0,4,9,None,None,[ ]
24,Iranian,namebases-asia.js,29,r,0,5,11,None,None,[ ]
25,Karnataka,namebases-asia.js,25,tnl,0,5,11,None,None,[ ]
26,Quechua,namebases-southAmerica.js,27,l,0,6,12,South America,Quechuan,[ ]
27,Swahili,namebases-africa.js,26,,0,4,9,Africa,Bantu,[ ]
28,Vietnamese,namebases-asia.js,25,s,0,4,12,Asia,Vietic,[ ]
29,Cantonese,namebases-asia.js,26,,0,5,11,East Asia,Yue,[ ]
31,Gurage,namebases-africa.js,26,bns,0,4,12,None,None,[ ]
34,Lechitic,namebases-europe.js,26,cltr,0,5,11,None,None,[ ]
35,Czech-Slovak,namebases-europe.js,27,cltr,0,5,11,None,None,[ ]
36,South Slavic BCS,namebases-europe.js,27,cltr,0,5,11,None,None,[ ]
37,Berber (Maghreb),namebases-africa.js,29,s,0,4,10,None,None,[ ]
39,Sekele,namebases-africa.js,26,lnrtkxgms,0,3,9,Africa,Kx'a,[ ]
41,Taa Click,namebases-africa.js,27,lnrtkxgms,0,3,9,None,None,[ ]
42,Somontanés,namebases-europe.js,25,lr,0,4,11,Europe,Aragonese,[ ]
