Language Group,Total Placeholders,Successful Replacements,Failed Replacements,Success Rate,Average Confidence,Sources Used
"TyhJ",6,35,8,0.814,0.000,"4bE{Zl; GTMfVpy2:&n"
"tQOk",31,14,1,0.933,0.000,"895~"YHT; JVv..@lZfo/;  Y5&}mK|n:"
"XNxuX",2,7,4,0.636,0.000,"kRU9fdB&=/>HG; hqSDeb; #B7%QD<zn"
"CoZ",10,26,5,0.839,0.000,"]@86[sp; FA-2D{~s^; g ~"
"OTvf",30,24,2,0.923,0.000,"<,H$A({Y{n~; @PVo?D; D!Z;Iw8fhTlHUT"
"FjV",14,25,0,1.000,0.000,".!!E>r;.+; P{Q"
"tyS",14,3,2,0.600,0.000,"L+**$6I ("
"EnT",10,18,6,0.750,0.000,"*=j#nD%).a;|B; r7Lis>/_T>%J_"
"wLgBs",44,7,9,0.438,0.000,"-zLOYAI; yjai]@Z[; rpZ ncZ:38n(F"
"swMu",5,15,7,0.682,0.000,"?j^&os; >:kj4{M!"
