Target ISOs: 3403
Filter: count < 50
Allow fillers: false

iso | premixCount | grade
--- | ---------- | -----
cauque-mayan-language | 10 | D
qanjobal | 10 | D
kenaboi | 11 | D
caa | 12 | D
chongqing-mandarin | 12 | D
chorote | 12 | D
chorotega | 12 | D
choshuenco | 12 | D
chovashi | 12 | D
kkt | 12 | D
klr | 12 | D
minahasan | 12 | D
muna-buton | 12 | D
peranakan | 12 | D
rma | 12 | D
samo-burkina | 12 | D
tij | 12 | D
tna | 12 | D
tomini-tolitoli | 12 | D
basap | 13 | D
g-ui | 13 | D
gig | 13 | D
gimi | 13 | D
gurindji-kriol | 13 | D
guyanese-creole | 13 | D
gvoko-language | 13 | D
gvr | 13 | D
gwc | 13 | D
haflong-hindi | 13 | D
hagei | 13 | D
hagen | 13 | D
haitian-creole | 13 | D
haj | 13 | D
hakka | 13 | D
halang-bahnaric | 13 | D
kabalai-language | 13 | D
kabardian | 13 | D
kabyle | 13 | D
kac | 13 | D
kaco-bahnaric | 13 | D
kae | 13 | D
kaera | 13 | D
kafoa | 13 | D
kaguel | 13 | D
kainantu | 13 | D
kam-sui | 13 | D
madurese | 13 | D
naukan | 13 | D
nivkh | 13 | D
northwest-sumatra-barrier-islands | 13 | D

Synthetic filler usage (detected in premix inputs):
  ISOs with fillers: 172
  Total filler tokens: 2062
  Note: filler tokens are excluded from premixCount by default.
        Re-run with --allow-fillers (or --fast-pass) to include them.

iso | fillerCount | sampleFillers
--- | ---------- | -------------
aca | 12 | aca_unq1,aca_unq2,aca_unq3,aca_unq4,aca_unq5
achang | 12 | achang_unq1,achang_unq2,achang_unq3,achang_unq4,achang_unq5
acr | 12 | acr_unq1,acr_unq2,acr_unq3,acr_unq4,acr_unq5
adi | 12 | adi_unq1,adi_unq2,adi_unq3,adi_unq4,adi_unq5
afar | 12 | afar_unq1,afar_unq2,afar_unq3,afar_unq4,afar_unq5
afrikaans | 12 | afrikaans_unq1,afrikaans_unq2,afrikaans_unq3,afrikaans_unq4,afrikaans_unq5
agaw | 12 | agaw_unq1,agaw_unq2,agaw_unq3,agaw_unq4,agaw_unq5
agu | 12 | agu_unq1,agu_unq2,agu_unq3,agu_unq4,agu_unq5
ainu | 12 | ainu_unq1,ainu_unq2,ainu_unq3,ainu_unq4,ainu_unq5
aiton | 12 | aiton_unq1,aiton_unq2,aiton_unq3,aiton_unq4,aiton_unq5
akan | 12 | akan_unq1,akan_unq2,akan_unq3,akan_unq4,akan_unq5
akv | 12 | akv_unq1,akv_unq2,akv_unq3,akv_unq4,akv_unq5
alasha | 12 | alasha_unq1,alasha_unq2,alasha_unq3,alasha_unq4,alasha_unq5
alchuka | 12 | alchuka_unq1,alchuka_unq2,alchuka_unq3,alchuka_unq4,alchuka_unq5
altai | 12 | altai_unq1,altai_unq2,altai_unq3,altai_unq4,altai_unq5
aluku | 12 | aluku_unq1,aluku_unq2,aluku_unq3,aluku_unq4,aluku_unq5
amf | 12 | amf_unq1,amf_unq2,amf_unq3,amf_unq4,amf_unq5
amh | 12 | amh_unq1,amh_unq2,amh_unq3,amh_unq4,amh_unq5
amuzgo | 12 | amuzgo_unq1,amuzgo_unq2,amuzgo_unq3,amuzgo_unq4,amuzgo_unq5
angas | 12 | angas_unq1,angas_unq2,angas_unq3,angas_unq4,angas_unq5
ani | 12 | ani_unq1,ani_unq2,ani_unq3,ani_unq4,ani_unq5
ano | 12 | ano_unq1,ano_unq2,ano_unq3,ano_unq4,ano_unq5
ao | 12 | ao_unq1,ao_unq2,ao_unq3,ao_unq4,ao_unq5
aoz | 12 | aoz_unq1,aoz_unq2,aoz_unq3,aoz_unq4,aoz_unq5
apa | 12 | apa_unq1,apa_unq2,apa_unq3,apa_unq4,apa_unq5
aph | 12 | aph_unq1,aph_unq2,aph_unq3,aph_unq4,aph_unq5
arawak | 12 | arawak_unq1,arawak_unq2,arawak_unq3,arawak_unq4,arawak_unq5
armenian | 12 | armenian_unq1,armenian_unq2,armenian_unq3,armenian_unq4,armenian_unq5
arp | 12 | arp_unq1,arp_unq2,arp_unq3,arp_unq4,arp_unq5
arunachal | 12 | arunachal_unq1,arunachal_unq2,arunachal_unq3,arunachal_unq4,arunachal_unq5
