=== Language Mixer base-set clusters (catalog languages only) ===
Considered catalog languages (after filters): 747
Total distinct base sets (all sizes): 738
Clusters with identical base sets (size >= 2): 1
Total language entries participating in these clusters: 10
Columns: iso | name | region | family | category | tags (comma-separated); bases are shared per cluster.

-- bases=[9] | members=10 --
-sele | ├àsele | Eurasia | Southern Sami | Uralic | 
akkala-sami | Akkala Sami | Eurasia | Sami | Uralic | extinct
ala-satakunta | Ala-Satakunta | Eurasia | Western Dialects | Uralic | 
erzya | Erzya | Eurasia | Erzya | Uralic | 
moksha | Moksha | Eurasia | Moksha | Uralic | 
komi-zyryan | Komi-Zyryan | Eurasia | Komi-Zyryan | Uralic | 
nenets | Nenets | Eurasia | Nenets | Uralic | 
uralic-family | Uralic | Eurasia | Uralic | Uralic | family
estonian | Estonian | Europe | North Estonian | Uralic | 
fin | Finnish | Europe | Finnish | Uralic | 

