=== Language Mixer base-set clusters (catalog languages only) ===
Considered catalog languages (after filters): 1035
Total distinct base sets (all sizes): 961
Clusters with identical base sets (size >= 2): 47
Total language entries participating in these clusters: 121
Columns: iso | name | region | family | category | tags (comma-separated); bases are shared per cluster.

-- bases=[9] | members=10 --
-sele | ├àsele | Eurasia | Southern Sami | Uralic | 
akkala-sami | Akkala Sami | Eurasia | Sami | Uralic | extinct
ala-satakunta | Ala-Satakunta | Eurasia | Western Dialects | Uralic | 
erzya | Erzya | Eurasia | Erzya | Uralic | 
moksha | Moksha | Eurasia | Moksha | Uralic | 
komi-zyryan | Komi-Zyryan | Eurasia | Komi-Zyryan | Uralic | 
nenets | Nenets | Eurasia | Nenets | Uralic | 
zyuzdino | Zyuzdino | Eurasia | Komi-Yodzyak | Uralic | 
estonian | Estonian | Europe | North Estonian | Uralic | 
fin | Finnish | Europe | Finnish | Uralic | 

-- bases=[389] | members=5 --
duruwa | Duruwa | Asia | Central Dravidian | Dravidian | 
kolami | Kolami | Asia | Central Dravidian | Dravidian | 
naiki | Naiki | Asia | Central Dravidian | Dravidian | 
ollari | Ollari | Asia | Central Dravidian | Dravidian | 
purepecha | Pur├⌐pecha | Mesoamerica | Pur├⌐pecha isolate | Language isolate | 

-- bases=[22] | members=4 --
balearic | Balearic | Europe | Catalan | Romance | catalan,balearic_islands
gle | Irish | Europe | Celtic | Celtic | 
gla | Gaelic | Europe | Celtic | Celtic | 
occitan | Occitan | Europe | Dialects | Romance | 

-- bases=[3] | members=4 --
istriot | Istriot | Europe | Istriot | Romance | 
romansh | Romansh | Europe | Romansh | Romance | 
ligurian | Ligurian | Europe | Ligurian | Romance | 
venetian | Venetian | Europe | Venetian | Romance | 

-- bases=[376] | members=4 --
konda-dravidian | Konda | Asia | South-Central Dravidian | Dravidian | 
koya | Koya | Asia | South-Central Dravidian | Dravidian | 
manda-dravidian | Manda | Asia | South-Central Dravidian | Dravidian | 
pengo | Pengo | Asia | South-Central Dravidian | Dravidian | 

-- bases=[193,195] | members=3 --
ibanag | Ibanag | Asia | Austronesian | Austronesian | 
kapampangan | Kapampangan | Asia | Austronesian | Austronesian | 
pangasinan | Pangasinan | Asia | Austronesian | Austronesian | 

-- bases=[199] | members=3 --
sholaga | Sholaga | Asia | South Dravidian | Dravidian | 
toda | Toda | Asia | South Dravidian | Dravidian | 
tamil | Tamil | Asia | South Dravidian | Dravidian | 

-- bases=[312] | members=3 --
maung | Maung | Australia | Australian Aboriginal | Australian Aboriginal | 
kunwinjku | Kunwinjku | Australia | Australian Aboriginal | Australian Aboriginal | 
nunggubuyu | Nunggubuyu | Australia | Australian Aboriginal | Australian Aboriginal | 

-- bases=[316] | members=3 --
srp | Serbian | Europe | Western South Slavic | Slavic | 
serbo-croatian | Serbo-Croatian | Europe | Western South Slavic | Slavic | 
macedonian | Macedonian | Europe | Eastern South Slavic | Slavic | 

-- bases=[377] | members=3 --
bemba | Bemba | Africa | Bantu | Niger-Congo | 
bembe-congo | Bembe (Congo) | Africa | Bantu | Niger-Congo | 
bembe-drc | Bembe (DRC) | Africa | Bantu | Niger-Congo | 

-- bases=[387] | members=3 --
chenchu | Chenchu | Asia | South-Central Dravidian | Dravidian | 
pattapu | Pattapu | Asia | South Dravidian | Dravidian | 
yerukala | Yerukala | Asia | South Dravidian | Dravidian | 

-- bases=[4,17,18,22] | members=3 --
algerian-saharan-arabic | Algerian Saharan Arabic | Middle East | Maghrebi | Afroasiatic | 
saharan-spanish | Saharan Spanish | Africa | Spanish | Romance | spanish,western-sahara
saharan-spanish | Saharan Spanish | Africa | Spanish | Romance | spanish,western-sahara

-- bases=[4,18,140] | members=3 --
tetuani | Tetuani | Africa | Judeo-Spanish | Romance | 
andalusi-arabic | Andalusi Arabic | Middle East | Maghrebi | Afroasiatic | 
aragonese | Aragonese | Europe | Aragonese | Romance | 

-- bases=[47] | members=3 --
tibetic | Tibetic | Sino-Tibetan region | Sino-Tibetan | Sino-Tibetan | 
bodish | Bodish | Sino-Tibetan region | Bodish | Sino-Tibetan | 
east-bodish | East Bodish | Sino-Tibetan region | Sino-Tibetan | Sino-Tibetan | 

-- bases=[5] | members=3 --
rus | Russian | Europe | East Slavic | Slavic | 
taimyr-pidgin-russian | Taimyr Pidgin Russian | Misc | Pidgin | Pidgin | pidgin
old-church-slavonic | Old Church Slavonic | Europe | Eastern South Slavic | Slavic | historical,extinct

-- bases=[0] | members=2 --
deu | German | Europe | Germanic | Germanic | 
nld | Dutch | Europe | Germanic | Germanic | 

-- bases=[133] | members=2 --
amh | Amh | Horn of Africa | South Ethiopic | Afroasiatic | 
amharic | Amharic | Horn of Africa | South Ethiopic | Afroasiatic | 

-- bases=[14] | members=2 --
nah | Nahuatl | North America | Uto-Aztecan | Uto-Aztecan | 
pipil | Pipil (Nawat) | Central America | Uto-Aztecan | Uto-Aztecan | 

-- bases=[145] | members=2 --
bambassi | Bambassi | Africa | Omotic | Afroasiatic | 
hozo | Hozo | Africa | Nilo-Saharan | Nilo-Saharan | 

-- bases=[199,253,255,374,375] | members=2 --
paniya | Paniya | Asia | South Dravidian | Dravidian | 
paniya | Paniya | Asia | South Dravidian | Dravidian | 

-- bases=[201] | members=2 --
chittagonian | Chittagonian | Asia | BengaliΓÇôAssamese | Indo-Aryan | 
bengali | Bengali | Asia | BengaliΓÇôAssamese | Indo-Aryan | 

-- bases=[225,227] | members=2 --
altai | Altai | Asia | Siberian Turkic | Turkic | 
khakas | Khakas | Asia | Siberian Turkic | Turkic | 

-- bases=[226] | members=2 --
karakalpak | Karakalpak | Asia | Kipchak Turkic | Turkic | 
uzbek | Uzbek | Central Asia | Karluk Turkic | Turkic | 

-- bases=[23,42] | members=2 --
akkadian | Akkadian | Ancient Mesopotamia | East Semitic | Afroasiatic | extinct
akkadian | Akkadian | Ancient Mesopotamia | East Semitic | Afroasiatic | extinct

-- bases=[237] | members=2 --
abaza | Abaza | Caucasus | Northwest Caucasian | Northwest Caucasian | 
abkhaz | Abkhaz | Caucasus | Northwest Caucasian | Northwest Caucasian | 

-- bases=[253] | members=2 --
konkani | Konkani | Asia | MarathiΓÇôKonkani | Indo-Aryan | 
marathi | Marathi | Asia | MarathiΓÇôKonkani | Indo-Aryan | 

-- bases=[253,255,372,374,375] | members=2 --
muthuvan | Muthuvan | Asia | South Dravidian | Dravidian | 
muthuvan | Muthuvan | Asia | South Dravidian | Dravidian | 

-- bases=[254] | members=2 --
tulu | Tulu | Asia | South Dravidian | Dravidian | 
kannada | Kannada | Asia | South Dravidian | Dravidian | 

-- bases=[254,255,372,374,375] | members=2 --
paliyan | Paliyan | Asia | South Dravidian | Dravidian | 
paliyan | Paliyan | Asia | South Dravidian | Dravidian | 

-- bases=[258] | members=2 --
antillean-creole | Antillean Creole | The Americas | French-based | Creole | creole
haitian-creole | Haitian Creole | Caribbean | French-based | Creole | creole

-- bases=[29,193,251] | members=2 --
mnw | Mon | Southeast Asia | Monic | Austroasiatic | 
halang-bahnaric | Halang | Asia | Bahnaric | Austroasiatic | 

-- bases=[29,194,195] | members=2 --
jru-bahnaric | Jru' | Asia | Bahnaric | Austroasiatic | 
sat | Santali | Asia | Munda | Austroasiatic | 

-- bases=[29,194,195,251] | members=2 --
jeh-bahnaric | Jeh | Asia | Bahnaric | Austroasiatic | 
kaco-bahnaric | Kaco' | Asia | Bahnaric | Austroasiatic | 

-- bases=[29,194,251] | members=2 --
juk-bahnaric | Juk | Asia | Bahnaric | Austroasiatic | 
duan-bahnaric | Duan (Bahnaric) | Asia | Bahnaric | Austroasiatic | 

-- bases=[3,254] | members=2 --
canadian-french | Canadian French | Americas | Canadian | Romance | 
canadian-french | Canadian French | Americas | Canadian | Romance | 

-- bases=[30] | members=2 --
yue | Cantonese | East Asia | Yue | Sino-Tibetan | 
guarani | Guarani | South America | Tupian | Tupian | 

-- bases=[31] | members=2 --
chinese-kyakala | Chinese Kyakala | Asia | Jurchenic | Tungusic | extinct
kor | Kor | East Asia | Koreanic | Koreanic | 

-- bases=[31,296] | members=2 --
alasha | Alasha Mongol | Asia | Mongolic | Mongolic | 
altai-uriankhai | Altai Uriankhai | Asia | Oirat-Kalmyk | Mongolic | 

-- bases=[314] | members=2 --
lithuanian | Lithuanian | Europe | Baltic | Baltic | 
latvian | Latvian | Europe | Baltic | Baltic | 

-- bases=[315] | members=2 --
ces | Czech | Europe | Czech-Slovak | Slavic | 
slovak | Slovak | Europe | Czech-Slovak | Slavic | 

-- bases=[329] | members=2 --
lower-sorbian | Lower Sorbian | Europe | Sorbian | Slavic | 
upper-sorbian | Upper Sorbian | Europe | Sorbian | Slavic | 

-- bases=[374] | members=2 --
muria | Muria | Asia | South-Central Dravidian | Dravidian | 
pardhan | Pardhan | Asia | South-Central Dravidian | Dravidian | 

-- bases=[375] | members=2 --
kui-dravidian | Kui (Dravidian) | Asia | South-Central Dravidian | Dravidian | 
kuvi | Kuvi | Asia | South-Central Dravidian | Dravidian | 

-- bases=[378] | members=2 --
berta | Berta | Africa | Berta | Nilo-Saharan | 
besme | Besme | Africa | Niger-Congo | Niger-Congo | 

-- bases=[383] | members=2 --
athabaskan | Athabaskan | North America | Na-Dene | Na-Dene | 
navajo | Navajo | North America | Na-Dene | Na-Dene | 

-- bases=[49] | members=2 --
newaric | Newaric | Sino-Tibetan region | Sino-Tibetan | Sino-Tibetan | 
newar | Newar | Sino-Tibetan region | Sino-Tibetan | Sino-Tibetan | 

-- bases=[5,314,330] | members=2 --
podlachian | Podlachian | Europe | East Slavic | Slavic | 
west-polesian | West Polesian | Europe | East Slavic | Slavic | 

