List title: Wikipedia: List of mutually intelligible languages ΓÇô full article list
Source: https://en.wikipedia.org/wiki/List_of_mutually_intelligible_languages

ISO	Status	RaceCount	Category	Family	Name	Races
tunisian-arabic	ok	7	Afroasiatic	Arabic	Tunisian Arabic	Arachnid,Bugbear,Gnoll,Half-Orc,Lizardfolk,Thri-Kreen,Tiefling
libyan-arabic	ok	7	Afroasiatic	Arabic	Libyan Arabic	Arachnid,Bugbear,Gnoll,Half-Orc,Lizardfolk,Thri-Kreen,Tiefling
maltese	ok	8	Afroasiatic	Semitic	Maltese	Arachnid,Bugbear,Gnoll,Half-Orc,Leonin,Lizardfolk,Thri-Kreen,Tiefling
kinyarwanda	ok	6	Niger-Congo	Bantu	Kinyarwanda	Bugbear,Goblin,Leonin,Lizardfolk,Orc,Shifter
kirundi	ok	6	Niger-Congo	Bantu	Kirundi	Bugbear,Goblin,Leonin,Lizardfolk,Orc,Shifter
luganda	ok	6	Niger-Congo	Bantu	Luganda	Bugbear,Goblin,Leonin,Lizardfolk,Orc,Shifter
lusoga	ok	6	Niger-Congo	Bantu	Lusoga	Bugbear,Goblin,Leonin,Lizardfolk,Orc,Shifter
nkore	ok	6	Niger-Congo	Bantu	Nkore	Bugbear,Goblin,Leonin,Lizardfolk,Orc,Shifter
kiga	ok	6	Niger-Congo	Bantu	Kiga	Bugbear,Goblin,Leonin,Lizardfolk,Orc,Shifter
zulu	ok	6	Niger-Congo	Bantu	Zulu	Bugbear,Goblin,Leonin,Lizardfolk,Orc,Shifter
ndebele	ok	6	Niger-Congo	Bantu	Northern Ndebele	Bugbear,Goblin,Leonin,Lizardfolk,Orc,Shifter
xhosa	ok	6	Niger-Congo	Bantu	Xhosa	Bugbear,Goblin,Leonin,Lizardfolk,Orc,Shifter
swazi	ok	7	Niger-Congo	Niger-Congo	Swazi	Bugbear,Goblin,Half-Orc,Leonin,Lizardfolk,Orc,Shifter
southern-ndebele	ok	7	Niger-Congo	Niger-Congo	Southern Ndebele	Bugbear,Goblin,Half-Orc,Leonin,Lizardfolk,Orc,Shifter
banjar	ok	3	Austronesian	Malayo-Polynesian	Banjarese	Deepkin,Tortle,Triton
berau-malay	ok	3	Austronesian	Malayo-Polynesian	Berau Malay	Deepkin,Tortle,Triton
brunei-malay	ok	3	Austronesian	Malayo-Polynesian	Brunei Malay	Deepkin,Tortle,Triton
iban	ok	3	Austronesian	Malayo-Polynesian	Iban	Deepkin,Tortle,Triton
malay	ok	4	Austronesian	Austronesian	Malay	Aarakocra,Deepkin,Tortle,Triton
sarawakian-malay	ok	3	Austronesian	Malayo-Polynesian	Sarawakian Malay	Deepkin,Tortle,Triton
tokelauan	ok	4	Polynesian	Polynesian	Tokelauan	Aarakocra,Deepkin,Tortle,Triton
tuvaluan	ok	4	Polynesian	Polynesian	Tuvaluan	Aarakocra,Deepkin,Tortle,Triton
tagalog	ok	4	Austronesian	Austronesian	Tagalog	Aarakocra,Deepkin,Tortle,Triton
kasiguranin	ok	3	Austronesian	Philippine	Kasiguranin	Deepkin,Tortle,Triton
maranao	ok	3	Austronesian	Philippine	Maranao	Deepkin,Tortle,Triton
iranun	ok	3	Austronesian	Philippine	Iranun	Deepkin,Tortle,Triton
danish	ok	18	Germanic	North Germanic	Danish	Changeling,Dark Elf,Duergar,Dwarf,Firbolg,Giant,Giff,Gnome,Goliath,Half-Elf,Halfling,Harengon,Hexblood,Hobgoblin,Reborn,Shadar-kai,Shifter,Warforged
norwegian	ok	18	Germanic	North Germanic	Norwegian	Changeling,Dark Elf,Duergar,Dwarf,Firbolg,Giant,Giff,Gnome,Goliath,Half-Elf,Halfling,Harengon,Hexblood,Hobgoblin,Reborn,Shadar-kai,Shifter,Warforged
swe	ok	18	Germanic	North Germanic	Swedish	Changeling,Dark Elf,Duergar,Dwarf,Firbolg,Giant,Giff,Gnome,Goliath,Half-Elf,Halfling,Harengon,Hexblood,Hobgoblin,Reborn,Shadar-kai,Shifter,Warforged
nld	ok	18	Germanic	Germanic	Dutch	Changeling,Dark Elf,Duergar,Dwarf,Firbolg,Giant,Giff,Gnome,Goliath,Half-Elf,Halfling,Harengon,Hexblood,Hobgoblin,Reborn,Shadar-kai,Shifter,Warforged
afrikaans	ok	18	Germanic	Germanic	Afrikaans	Changeling,Dark Elf,Duergar,Dwarf,Firbolg,Giant,Giff,Gnome,Goliath,Half-Elf,Halfling,Harengon,Hexblood,Hobgoblin,Reborn,Shadar-kai,Shifter,Warforged
frisian	ok	18	Germanic	Germanic	West Frisian	Changeling,Dark Elf,Duergar,Dwarf,Firbolg,Giant,Giff,Gnome,Goliath,Half-Elf,Halfling,Harengon,Hexblood,Hobgoblin,Reborn,Shadar-kai,Shifter,Warforged
deu	ok	18	Germanic	Germanic	German	Changeling,Dark Elf,Duergar,Dwarf,Firbolg,Giant,Giff,Gnome,Goliath,Half-Elf,Halfling,Harengon,Hexblood,Hobgoblin,Reborn,Shadar-kai,Shifter,Warforged
yiddish	ok	18	Germanic	Germanic	Yiddish	Changeling,Dark Elf,Duergar,Dwarf,Firbolg,Giant,Giff,Gnome,Goliath,Half-Elf,Halfling,Harengon,Hexblood,Hobgoblin,Reborn,Shadar-kai,Shifter,Warforged
eng	ok	18	Germanic	Germanic	English	Changeling,Dark Elf,Duergar,Dwarf,Firbolg,Giant,Giff,Gnome,Goliath,Half-Elf,Halfling,Harengon,Hexblood,Hobgoblin,Reborn,Shadar-kai,Shifter,Warforged
sco	ok	18	Germanic	Germanic	Scots	Changeling,Dark Elf,Duergar,Dwarf,Firbolg,Giant,Giff,Gnome,Goliath,Half-Elf,Halfling,Harengon,Hexblood,Hobgoblin,Reborn,Shadar-kai,Shifter,Warforged
manglish	ok	4	Creole	English-based	Manglish	Giff,Seafarer,Triton,Warforged
singlish	ok	4	Creole	English-based	Singlish	Giff,Seafarer,Triton,Warforged
por	ok	10	Romance	Portuguese	Portuguese	Aasimar,Changeling,Dark Elf,Dhampir,Giff,Half-Elf,Halfling,Hexblood,Minotaur,Satyr
galician	ok	10	Romance	Galician	Galician	Aasimar,Changeling,Dark Elf,Dhampir,Giff,Half-Elf,Halfling,Hexblood,Minotaur,Satyr
occitan	ok	10	Romance	Dialects	Occitan	Aasimar,Changeling,Dark Elf,Dhampir,Giff,Half-Elf,Halfling,Hexblood,Minotaur,Satyr
cat	ok	10	Romance	Eastern	Catalan	Aasimar,Changeling,Dark Elf,Dhampir,Giff,Half-Elf,Halfling,Hexblood,Minotaur,Satyr
romanian	ok	10	Romance	Daco-Romanian	Romanian	Aasimar,Changeling,Dark Elf,Dhampir,Giff,Half-Elf,Halfling,Hexblood,Minotaur,Satyr
rup	ok	10	Romance	Eastern Romance	Aromanian	Aasimar,Changeling,Dark Elf,Dhampir,Giff,Half-Elf,Halfling,Hexblood,Minotaur,Satyr
ruq	ok	10	Romance	Eastern Romance	Megleno-Romanian	Aasimar,Changeling,Dark Elf,Dhampir,Giff,Half-Elf,Halfling,Hexblood,Minotaur,Satyr
ruo	ok	10	Romance	Eastern Romance	Istro-Romanian	Aasimar,Changeling,Dark Elf,Dhampir,Giff,Half-Elf,Halfling,Hexblood,Minotaur,Satyr
