=== Language Mixer base-set clusters (catalog languages only) ===
Considered catalog languages (after filters): 1128
Total distinct base sets (all sizes): 1099
Clusters with identical base sets (size >= 2): 13
Total language entries participating in these clusters: 42
Columns: iso | name | region | family | category | tags (comma-separated); bases are shared per cluster.

-- bases=[9] | members=12 --
-sele | ├àsele | Eurasia | Southern Sami | Uralic | 
akkala-sami | Akkala Sami | Eurasia | Sami | Uralic | extinct
ala-satakunta | Ala-Satakunta | Eurasia | Western Dialects | Uralic | 
erzya | Erzya | Eurasia | Erzya | Uralic | 
moksha | Moksha | Eurasia | Moksha | Uralic | 
komi-zyryan | Komi-Zyryan | Eurasia | Komi-Zyryan | Uralic | 
nenets | Nenets | Eurasia | Nenets | Uralic | 
estonian | Estonian | Europe | North Estonian | Uralic | 
karelian | Karelian | Eurasia | Karelian Proper | Uralic | 
eastern-mari | Eastern Mari | Eurasia | Eastern Mari | Uralic | 
fin | Finnish | Europe | Finnish | Uralic | 
zyuzdino | Zyuzdino | Eurasia | Komi-Yodzyak | Uralic | 

-- bases=[276,296,381] | members=5 --
khamnigan | Khamnigan Mongol | Asia | Mongolic | Mongolic | 
oirat | Oirat | Asia | Mongolic | Mongolic | 
bonan | Bonan | Asia | Mongolic | Mongolic | 
mogholi | Mogholi | Asia | Mongolic | Mongolic | 
daur | Daur | Asia | Mongolic | Mongolic | 

-- bases=[312] | members=3 --
kunwinjku | Kunwinjku | Australia | Australian Aboriginal | Australian Aboriginal | 
maung | Maung | Australia | Australian Aboriginal | Australian Aboriginal | 
nunggubuyu | Nunggubuyu | Australia | Australian Aboriginal | Australian Aboriginal | 

-- bases=[389] | members=3 --
purepecha | Pur├⌐pecha | Mesoamerica | Pur├⌐pecha isolate | Language isolate | 
duruwa | Duruwa | Asia | Central Dravidian | Dravidian | 
kolami | Kolami | Asia | Central Dravidian | Dravidian | 

-- bases=[6] | members=3 --
swe | Swedish | Europe | Germanic | Germanic | 
norwegian | Norwegian | Europe | North Germanic | Germanic | 
danish | Danish | Europe | North Germanic | Germanic | 

-- bases=[193,304] | members=2 --
bikol | Bikol | Asia | Austronesian | Austronesian | 
filipino | Filipino | Southeast Asia | Malayo-Polynesian | Austronesian | 

-- bases=[199,254,372] | members=2 --
sholaga | Sholaga | Asia | South Dravidian | Dravidian | 
kota-dravidian | Kota | Asia | South Dravidian | Dravidian | 

-- bases=[276,296] | members=2 --
amur-dagur | Amur Dagur | Asia | Mongolic | Mongolic | 
dongxiang | Dongxiang | Asia | Southern Mongolic | Mongolic | 

-- bases=[296,381] | members=2 --
altai-uriankhai | Altai Uriankhai | Asia | Oirat-Kalmyk | Mongolic | 
kalmyk | Kalmyk | Asia | Mongolic | Mongolic | 

-- bases=[374] | members=2 --
muria | Muria | Asia | South-Central Dravidian | Dravidian | 
pardhan | Pardhan | Asia | South-Central Dravidian | Dravidian | 

-- bases=[375] | members=2 --
kuvi | Kuvi | Asia | South-Central Dravidian | Dravidian | 
kui-dravidian | Kui (Dravidian) | Asia | South-Central Dravidian | Dravidian | 

-- bases=[377] | members=2 --
bembe-congo | Bembe (Congo) | Africa | Bantu | Niger-Congo | 
bembe-drc | Bembe (DRC) | Africa | Bantu | Niger-Congo | 

-- bases=[378] | members=2 --
berta | Berta | Africa | Berta | Nilo-Saharan | 
besme | Besme | Africa | Niger-Congo | Niger-Congo | 

