=== Language Mixer base-set clusters (catalog languages only) ===
Considered catalog languages (after filters): 704
Total distinct base sets (all sizes): 696
Clusters with identical base sets (size >= 2): 1
Total language entries participating in these clusters: 9
Columns: iso | name | region | family | category | tags (comma-separated); bases are shared per cluster.

-- bases=[9] | members=9 --
-sele | ├àsele | Eurasia | Southern Sami | Uralic | 
akkala-sami | Akkala Sami | Eurasia | Sami | Uralic | extinct
ala-satakunta | Ala-Satakunta | Eurasia | Western Dialects | Uralic | 
erzya | Erzya | Eurasia | Erzya | Uralic | 
moksha | Moksha | Eurasia | Moksha | Uralic | 
komi-zyryan | Komi-Zyryan | Eurasia | Komi-Zyryan | Uralic | 
nenets | Nenets | Eurasia | Nenets | Uralic | 
estonian | Estonian | Europe | North Estonian | Uralic | 
fin | Finnish | Europe | Finnish | Uralic | 

