iso	name	region	category	family	tags	tags_catalog	tags_auto	has_catalog_wikipedia_url	in_catalog	in_mixer_map	mixer_ready	bases	base_count	has_invalid_bases	invalid_bases	has_unique_base	base_set_key	base_set_cluster_size	wiki_lists	wiki_lists_direct	wiki_lists_inferred	wiki_inferred_by	wiki_titles	wiki_sources	wiki_names	wiki_items_count
-azd-dialect	ˀAzd dialect	Middle East	Afroasiatic	Other Arabic	dialect;extinct	extinct;dialect		false	true	true	true	18,22	2	false		false	18,22	1								0
-ejtun-dialect	Żejtun dialect	Middle East	Afroasiatic	Maghrebi	dialect	dialect		false	true	true	true	4,18,22	3	false		false	4,18,22	1								0
-sele	Åsele	Eurasia	Uralic	Southern Sami	hyphen		hyphen	false	true	true	true	9,274,426	3	false		false	9,274,426	1	tools/mixer-meta/wikipedia-uralic-languages-full.json		tools/mixer-meta/wikipedia-uralic-languages-full.json	category:Uralic	Wikipedia: List of Uralic languages – full family list	https://en.wikipedia.org/wiki/List_of_Uralic_languages		0
a-ou	A Ou	Asia	Tai-Kadai	Tai-Kadai	apostrophe;space		apostrophe;space	false	true	true	true	251,252,317,318,532,533	6	false		false	251,252,317,318,532,533	1	tools/mixer-meta/wikipedia-languages-of-asia-official-languages.json;tools/mixer-meta/wikipedia-languages-of-south-asia.json;tools/mixer-meta/wikipedia-languages-of-southeast-asia.json;tools/mixer-meta/wikipedia-languages-of-west-asia.json		tools/mixer-meta/wikipedia-languages-of-asia-official-languages.json;tools/mixer-meta/wikipedia-languages-of-south-asia.json;tools/mixer-meta/wikipedia-languages-of-southeast-asia.json;tools/mixer-meta/wikipedia-languages-of-west-asia.json	region:Asia	Wikipedia: Languages of Asia – official languages table;Wikipedia: Languages of South Asia – regional subset;Wikipedia: Languages of Southeast Asia – regional subset;Wikipedia: Languages of West Asia – regional subset	https://en.wikipedia.org/wiki/Languages_of_Asia;https://en.wikipedia.org/wiki/Languages_of_South_Asia;https://en.wikipedia.org/wiki/Languages_of_Southeast_Asia;https://en.wikipedia.org/wiki/West_Asia		0
aas-whistled	Aas whistled	Europe	Romance	Gascon Occitan	gascon;occitan;whistled	occitan;gascon;whistled	whistled	true	true	true	true	2,232	2	false		false	2,232	7	tools/mixer-meta/wikipedia-languages-of-europe.json		tools/mixer-meta/wikipedia-languages-of-europe.json	region:Europe	Wikipedia: Languages of Europe – regional subset	https://en.wikipedia.org/wiki/Languages_of_Europe		0
abaga	Abaga	Pacific	Papuan	Kainantu–Goroka	apostrophe;space		apostrophe;space	false	true	true	true	25,193,197,263	4	false		false	25,193,197,263	1	tools/mixer-meta/wikipedia-languages-of-oceania.json		tools/mixer-meta/wikipedia-languages-of-oceania.json	category:Papuan;region:Pacific	Wikipedia: Languages of Oceania – Papuan & Pacific subset	https://en.wikipedia.org/wiki/Languages_of_Oceania		0
abaza	Abaza	Caucasus	Northwest Caucasian	Northwest Caucasian	hyphen;space		hyphen;space	true	true	true	true	237,241	2	false		false	237,241	1	tools/mixer-meta/wikipedia-languages-of-europe.json	tools/mixer-meta/wikipedia-languages-of-europe.json			Wikipedia: Languages of Europe – regional subset	https://en.wikipedia.org/wiki/Languages_of_Europe	Abaza	1
abba-gorgoryos	Abba Gorgoryos	Middle East	Afroasiatic	North Ethiopic	apostrophe;diacritics;hyphen		apostrophe;diacritics;hyphen	false	true	true	true	2,23,138	3	false		false	2,23,138	1								0
abkhaz	Abkhaz	Caucasus	Northwest Caucasian	Northwest Caucasian	space		space	true	true	true	true	237	1	false		false	237	2	tools/mixer-meta/wikipedia-languages-of-europe.json	tools/mixer-meta/wikipedia-languages-of-europe.json			Wikipedia: Languages of Europe – regional subset	https://en.wikipedia.org/wiki/Languages_of_Europe	Abkhaz	1
abon	Abon	Africa	Niger-Congo	Niger-Congo	diacritics;hyphen		diacritics;hyphen	false	true	true	true	112,113,114	3	false		false	112,113,114	1	tools/mixer-meta/wikipedia-languages-of-africa-full.json;tools/mixer-meta/wikipedia-languages-of-africa-major.json	tools/mixer-meta/wikipedia-languages-of-africa-full.json	tools/mixer-meta/wikipedia-languages-of-africa-major.json	region:Africa	Wikipedia: Languages of Africa – full table snapshot;Wikipedia: Languages of Africa – major languages subset	https://en.wikipedia.org/wiki/Languages_of_Africa;https://en.wikipedia.org/wiki/Languages_of_Africa	Abon	1
aboriginal-pidgin-english	Aboriginal Pidgin English	Misc	Pidgin	English-based	hyphen;pidgin	pidgin	hyphen	false	true	true	true	1,22,312	3	false		false	1,22,312	1	tools/mixer-meta/wikipedia-list-english-based-pidgins-full.json	tools/mixer-meta/wikipedia-list-english-based-pidgins-full.json		family:English-based	Wikipedia: List of English-based pidgins – full article list	https://en.wikipedia.org/wiki/List_of_English-based_pidgins	Aboriginal Pidgin English	1
abron	Abron	Africa	Niger-Congo	Niger-Congo	hyphen		hyphen	false	true	true	true	112,113,115	3	false		false	112,113,115	1	tools/mixer-meta/wikipedia-languages-of-africa-full.json;tools/mixer-meta/wikipedia-languages-of-africa-major.json	tools/mixer-meta/wikipedia-languages-of-africa-full.json	tools/mixer-meta/wikipedia-languages-of-africa-major.json	region:Africa	Wikipedia: Languages of Africa – full table snapshot;Wikipedia: Languages of Africa – major languages subset	https://en.wikipedia.org/wiki/Languages_of_Africa;https://en.wikipedia.org/wiki/Languages_of_Africa	Abron	1
