score	kind	iso	name	family	category	lexifier	base	baseName	baseTopFamily	baseTopShare	baseTotal
213.000	base_family_outlier	adnyamathanha	Adnyamathanha	Australian Aboriginal	Australian Aboriginal		132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	alak-bahnaric	Alak	Bahnaric	Austroasiatic		132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	barikanchi-pidgin	Barikanchi Pidgin	Pidgin	Pidgin	Hausa	132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	berta	Berta	Berta	Nilo-Saharan		132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	besme	Besme	Niger-Congo	Niger-Congo		132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	chrau-bahnaric	Chrau	Bahnaric	Austroasiatic		132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	ghomara	Ghomara language	Berber	Afroasiatic		132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	kanuri	Kanuri	Saharan	Nilo-Saharan		132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	lavi-bahnaric	Lavi	Bahnaric	Austroasiatic		132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	mozabite-language	Mozabite language	Zenati Berber	Afroasiatic		132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	nafusi-language	Nafusi language	Eastern Berber	Afroasiatic		132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	nigerian-pidgin	Nigerian Pidgin	English-based	Creole	English	132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	nus	Nuer	Nilotic	Nilo-Saharan		132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	oi-bahnaric	Oi	Bahnaric	Austroasiatic		132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	saba	Saba	Afroasiatic	Afroasiatic		132	Hausa	Chadic	0.8223938223938224	259
213.000	base_family_outlier	senara	Senara	Niger-Congo	Niger-Congo		132	Hausa	Chadic	0.8223938223938224	259
