iso	name	region	category	family	currentBases	currentBaseNames	exampleBase	exampleBaseName	exampleReasons	suggestedBases	suggestedBaseNames
koryo-mar	Koryo-mar	Eurasia	Koreanic	Koreanic	[9,19,274]	Finnic, Inuit, Northern Sami	274	Northern Sami	category(Koreanic != Uralic, dom=0.98)	[10]	Korean
motu	Motu	Pacific	Austronesian	Austronesian	[263,360,367]	Tok Pisin, Papuan, Eastern Indonesian	263	Tok Pisin	category(Austronesian != Papuan, dom=0.97)	[360,367]	Papuan, Eastern Indonesian
philippine-spanish	Philippine Spanish	Asia	Romance	Spanish	[4,42,140,1080]	Castillian, Levantine, Afar, Philippine Spanish (dedicated)	42	Levantine	category(Romance != Afroasiatic, dom=0.94)	[4,1080]	Castillian, Philippine Spanish (dedicated)
krc	Karachay-Balkar	Caucasus	Turkic	Kipchak Turkic	[233,5]	Sardinian, Slavic	233	Sardinian	category(Turkic != Romance, dom=0.96); region(Caucasus != Europe, dom=0.92)	[16,242]	Turkish, Turkmen
kum	Kumyk	Caucasus	Turkic	Kipchak Turkic	[233,5]	Sardinian, Slavic	233	Sardinian	category(Turkic != Romance, dom=0.96); region(Caucasus != Europe, dom=0.92)	[16,242]	Turkish, Turkmen
nogai	Nogai	Caucasus	Turkic	Kipchak Turkic	[233,5]	Sardinian, Slavic	233	Sardinian	category(Turkic != Romance, dom=0.96); region(Caucasus != Europe, dom=0.92)	[16,242]	Turkish, Turkmen
canadian-french	Canadian French	Americas	Romance	Canadian	[3,254,650]	Italian, Kannada, Canadian French	254	Kannada	category(Romance != Dravidian, dom=0.94); region(Americas != Asia, dom=0.94)	[650,753]	Canadian French, French (fra)
eastern-romanian	Eastern Romanian	Europe	Romance	Eastern Romance	[8,15,43,233,812]	Roman, Hungarian, Romanian, Sardinian, Eastern Romanian	15	Hungarian	category(Romance != Uralic, dom=0.94); region(Europe != Eurasia, dom=0.93)	[8,43,233,812]	Roman, Romanian, Sardinian, Eastern Romanian
ecuadorian-spanish	Ecuadorian Spanish	Europe	Romance	Latin American	[4,174,176,15,813]	Castillian, Southern-Quechua, Kichwa, Hungarian, Ecuadorian Spanish	15	Hungarian	category(Romance != Uralic, dom=0.94); region(Europe != Eurasia, dom=0.93)	[4,174,176,813]	Castillian, Southern-Quechua, Kichwa, Ecuadorian Spanish
proto-eastern-romance	Proto-Eastern Romance	Europe	Romance	Eastern Romance	[8,15,43,1181]	Roman, Hungarian, Romanian, Proto-Eastern Romance (dedicated)	15	Hungarian	category(Romance != Uralic, dom=0.94); region(Europe != Eurasia, dom=0.93)	[8,43,1181]	Roman, Romanian, Proto-Eastern Romance (dedicated)
