iso	name	region	family	category	score	issueCount	exampleBase	exampleBaseName	exampleReasons
beli	Beli	Africa	Nilo-Saharan	Nilo-Saharan	6.14	2	155	Chichewa	family(Nilo-Saharan != Niger-Congo, dom=0.86); category(Nilo-Saharan != Niger-Congo, dom=0.89)
harari	Harari	Horn of Africa	Harari-Argobba Ethio-Semitic	Afroasiatic	5.23	1	312	Harari-Argobba	family(Harari-Argobba Ethio-Semitic != Australian Aboriginal, dom=0.87); category(Afroasiatic != Australian Aboriginal, dom=0.87); region(Horn of Africa != Australia, dom=0.87)
harari-east-gurage	Harari-East Gurage	Horn of Africa	Harari-Argobba Ethio-Semitic	Afroasiatic	5.23	1	312	Harari-Argobba	family(Harari-Argobba Ethio-Semitic != Australian Aboriginal, dom=0.87); category(Afroasiatic != Australian Aboriginal, dom=0.87); region(Horn of Africa != Australia, dom=0.87)
piraha	Pirahã	South America	Muran	Amazonian	5.14	1	388	Kwaza-Xocó Amazonian	family(Muran != North Dravidian, dom=0.86); category(Amazonian != Dravidian, dom=0.86); region(South America != Asia, dom=0.86)
bata-language	Bata language	Africa	Chadic	Afroasiatic	4.36	1	155	Chichewa	family(Chadic != Niger-Congo, dom=0.86); category(Afroasiatic != Niger-Congo, dom=0.89)
dinka	Dinka	Africa	Nilotic	Nilo-Saharan	4.36	1	155	Chichewa	family(Nilotic != Niger-Congo, dom=0.86); category(Nilo-Saharan != Niger-Congo, dom=0.89)
masmaje-language	Masmaje language	Africa	Chadic	Afroasiatic	4.36	1	155	Chichewa	family(Chadic != Niger-Congo, dom=0.86); category(Afroasiatic != Niger-Congo, dom=0.89)
koryo-mar	Koryo-mar	Eurasia	Koreanic	Koreanic	3.92	2	274	Northern Sami	category(Koreanic != Uralic, dom=0.98)
motu	Motu	Pacific	Austronesian	Austronesian	3.79	2	263	Tok Pisin	category(Austronesian != Papuan, dom=0.97)
bomboma	Bomboma	Africa	Niger-Congo	Niger-Congo	3.64	2	17	Berber	category(Niger-Congo != Afroasiatic, dom=0.94)
dendi	Dendi	Africa	Nilo-Saharan	Nilo-Saharan	3.64	2	17	Berber	category(Nilo-Saharan != Afroasiatic, dom=0.94)
rah	Rabha	Asia	Boro-Garo	Sino-Tibetan	3.43	1	65	Arunachal	family(Boro-Garo != Sino-Tibetan, dom=0.86); region(Asia != Sino-Tibetan region, dom=0.86)
ecuadorian-spanish	Ecuadorian Spanish	Europe	Latin American	Romance	2.89	1	15	Hungarian	category(Romance != Uralic, dom=0.97); region(Europe != Eurasia, dom=0.95)
transylvanian	Transylvanian	Europe	Daco-Romanian	Romance	2.89	1	15	Hungarian	category(Romance != Uralic, dom=0.97); region(Europe != Eurasia, dom=0.95)
chenchu	Chenchu	Asia	South-Central Dravidian	Dravidian	2.82	1	254	Kannada	family(South-Central Dravidian != South Dravidian, dom=0.94)
fon	Fon	Africa	Gbe	Niger-Congo	2.77	1	122	Fon	family(Gbe != Niger-Congo, dom=0.92)
tarifit	Tarifit	North Africa	Berber	Afroasiatic	2.73	1	147	Kinyarwanda	category(Afroasiatic != Niger-Congo, dom=0.88); region(North Africa != Africa, dom=0.96)
dida	Dida	Africa	Kru	Niger-Congo	2.73	1	125	Dida	family(Kru != Niger-Congo, dom=0.91)
lozi	Lozi	Africa	Bantu	Niger-Congo	2.72	1	151	Sesotho	family(Bantu != Niger-Congo, dom=0.91)
nkore	Nkore	Africa	Bantu	Niger-Congo	2.72	1	151	Sesotho	family(Bantu != Niger-Congo, dom=0.91)
cai-long	Cai Long	Sino-Tibetan region	Sino-Tibetan	Sino-Tibetan	2.70	1	104	Cai-Long	family(Sino-Tibetan != Bai, dom=0.90)
hmn	Hmong	Southeast Asia	Hmongic	Hmong-Mien	2.67	1	252	Lao	category(Hmong-Mien != Tai-Kadai, dom=0.89); region(Southeast Asia != Asia, dom=0.90)
lus	Mizo	South Asia	Tibeto-Burman	Sino-Tibetan	2.67	1	252	Lao	category(Sino-Tibetan != Tai-Kadai, dom=0.89); region(South Asia != Asia, dom=0.90)
mji	Mien	Southeast Asia	Mienic	Hmong-Mien	2.67	1	252	Lao	category(Hmong-Mien != Tai-Kadai, dom=0.89); region(Southeast Asia != Asia, dom=0.90)
mni	Meitei	South Asia	Tibeto-Burman	Sino-Tibetan	2.67	1	252	Lao	category(Sino-Tibetan != Tai-Kadai, dom=0.89); region(South Asia != Asia, dom=0.90)
tausug	Tausug	Southeast Asia	Austronesian	Austronesian	2.67	1	252	Lao	category(Austronesian != Tai-Kadai, dom=0.89); region(Southeast Asia != Asia, dom=0.90)
hre	Hre	Asia	Bahnaric	Austroasiatic	2.63	1	181	Santali	family(Bahnaric != Munda, dom=0.88)
fut	Fut	Africa	Grassfields Bantoid	Niger-Congo	2.60	1	121	Ga	family(Grassfields Bantoid != Niger-Congo, dom=0.87)
ga	Ga	Africa	Ga–Dangme	Niger-Congo	2.60	1	121	Ga	family(Ga–Dangme != Niger-Congo, dom=0.87)
lusoga	Lusoga	Africa	Bantu	Niger-Congo	2.58	1	155	Chichewa	family(Bantu != Niger-Congo, dom=0.86)
bul	Bulgarian	Europe	Eastern South Slavic	Slavic	2.57	1	372	Bulgarian	category(Slavic != Dravidian, dom=0.86); region(Europe != Asia, dom=0.86)
macedonian	Macedonian	Europe	Eastern South Slavic	Slavic	2.57	1	372	Bulgarian	category(Slavic != Dravidian, dom=0.86); region(Europe != Asia, dom=0.86)
montenegrin	Montenegrin	Europe	Western South Slavic	Slavic	2.57	1	372	Bulgarian	category(Slavic != Dravidian, dom=0.86); region(Europe != Asia, dom=0.86)
pbu	Pashto, Northern	Asia	Iranian	Iranian	1.96	1	202	Punjabi	category(Iranian != Indo-Aryan, dom=0.98)
