iso	name	langRegion	langFamily	langCategory	base	baseName	baseUses	dominantFamily	dominantFamilyDominance	dominantCategory	dominantCategoryDominance	dominantRegion	dominantRegionDominance	score	reasons
aboriginal-pidgin-english	Aboriginal Pidgin English	Misc	English-based	Pidgin	312	Harari-Argobba	39	Australian Aboriginal	0.8717948717948718	Australian Aboriginal	0.8717948717948718	Australia	0.8717948717948718	5.230769230769232	family(English-based != Australian Aboriginal, dom=0.87); category(Pidgin != Australian Aboriginal, dom=0.87); region(Misc != Australia, dom=0.87)
acadian	Acadian	Americas	Canadian	Romance	8	Roman	78	Daco-Romanian	0.10256410256410256	Romance	0.7948717948717948	Europe	0.8589743589743589	0.8589743589743589	region(Americas != Europe, dom=0.86)
african-romance	African Romance	Africa	Latin	Romance	8	Roman	78	Daco-Romanian	0.10256410256410256	Romance	0.7948717948717948	Europe	0.8589743589743589	0.8589743589743589	region(Africa != Europe, dom=0.86)
african-romance	African Romance	Africa	Latin	Romance	279	Corsican	70	Oïl Dialects	0.21428571428571427	Romance	1	Europe	0.9285714285714286	0.9285714285714286	region(Africa != Europe, dom=0.93)
afro-seminole-creole	Afro-Seminole Creole	North America	English-based	Creole	277	Zarma	44	Niger-Congo	0.6136363636363636	Niger-Congo	0.6363636363636364	Africa	0.9545454545454546	0.9545454545454546	region(North America != Africa, dom=0.95)
algonquian-basque-pidgin	Algonquian-Basque pidgin	Misc	Pidgin	Pidgin	186	Cree	20	Yuman	0.3	Yuman	0.35	North America	0.9	0.9	region(Misc != North America, dom=0.90)
alyutor	Alyutor	Siberia	Chukotkan	Chukotko-Kamchatkan	380	Tungusic	37	Jurchenic	0.1891891891891892	Tungusic	0.5945945945945946	Asia	0.918918918918919	0.918918918918919	region(Siberia != Asia, dom=0.92)
equatoguinean-spanish	Equatoguinean Spanish	Africa	Spanish	Romance	3	Italian	116	Central Italian	0.08620689655172414	Romance	0.8362068965517241	Europe	0.853448275862069	0.853448275862069	region(Africa != Europe, dom=0.85)
saharan-spanish	Saharan Spanish	Africa	Spanish	Romance	17	Berber	81	Berber	0.3950617283950617	Afroasiatic	0.9382716049382716	Africa	0.4691358024691358	1.876543209876543	category(Romance != Afroasiatic, dom=0.94)
tetuani	Tetuani	Africa	Judeo-Spanish	Romance	231	Ladino	10	Judeo-Spanish	0.3	Romance	1	Europe	0.9	0.9	region(Africa != Europe, dom=0.90)
udmurt	Udmurt	Europe	Udmurt	Uralic	283	Udmurt	125	Western Dialects	0.136	Uralic	1	Eurasia	0.984	0.984	region(Europe != Eurasia, dom=0.98)
northern-sami	Northern Sami	Europe	Northern Sami	Uralic	274	Northern Sami	104	Western Dialects	0.11538461538461539	Uralic	0.9807692307692307	Eurasia	0.9807692307692307	0.9807692307692307	region(Europe != Eurasia, dom=0.98)
angolar-creole	Angolar Creole	Gulf of Guinea	Portuguese-based	Creole	146	Lingala	45	Niger-Congo	0.6666666666666666	Niger-Congo	0.7555555555555555	Africa	0.8888888888888888	0.8888888888888888	region(Gulf of Guinea != Africa, dom=0.89)
annobonese-creole	Annobonese Creole	Gulf of Guinea	Portuguese-based	Creole	148	Shona	35	Niger-Congo	0.7714285714285715	Niger-Congo	0.8285714285714286	Africa	0.9428571428571428	0.9428571428571428	region(Gulf of Guinea != Africa, dom=0.94)
arabic-javanese-of-klego	Arabic-Javanese of Klego	Misc	Mixed	Mixed	194	Indonesian	134	Formosan	0.21641791044776118	Papuan	0.5970149253731343	Pacific	0.917910447761194	0.917910447761194	region(Misc != Pacific, dom=0.92)
arafundi-enga-pidgin	Arafundi-Enga Pidgin	Misc	Pidgin	Pidgin	25	Hawaiian	85	Kainantu–Goroka	0.2	Papuan	0.8352941176470589	Pacific	0.8705882352941177	0.8705882352941177	region(Misc != Pacific, dom=0.87)
lusoga	Lusoga	Africa	Bantu	Niger-Congo	155	Chichewa	36	Niger-Congo	0.8611111111111112	Niger-Congo	0.8888888888888888	Africa	1	2.5833333333333335	family(Bantu != Niger-Congo, dom=0.86)
nkore	Nkore	Africa	Bantu	Niger-Congo	151	Sesotho	53	Niger-Congo	0.9056603773584906	Niger-Congo	0.9433962264150944	Africa	0.9433962264150944	2.716981132075472	family(Bantu != Niger-Congo, dom=0.91)
argentinian-spanish	Argentinian Spanish	South America	Latin American	Romance	3	Italian	116	Central Italian	0.08620689655172414	Romance	0.8362068965517241	Europe	0.853448275862069	0.853448275862069	region(South America != Europe, dom=0.85)
tagdal	Tagdal	Africa	Nilo-Saharan	Nilo-Saharan	17	Berber	81	Berber	0.3950617283950617	Afroasiatic	0.9382716049382716	Africa	0.4691358024691358	1.876543209876543	category(Nilo-Saharan != Afroasiatic, dom=0.94)
comorian	Comorian	Indian Ocean	Bantu	Niger-Congo	146	Lingala	45	Niger-Congo	0.6666666666666666	Niger-Congo	0.7555555555555555	Africa	0.8888888888888888	0.8888888888888888	region(Indian Ocean != Africa, dom=0.89)
comorian	Comorian	Indian Ocean	Bantu	Niger-Congo	149	Zulu	47	Niger-Congo	0.7659574468085106	Niger-Congo	0.8723404255319149	Africa	0.9148936170212766	0.9148936170212766	region(Indian Ocean != Africa, dom=0.91)
seychellois-creole	Seychellois Creole	Indian Ocean	French-based	Creole	149	Zulu	47	Niger-Congo	0.7659574468085106	Niger-Congo	0.8723404255319149	Africa	0.9148936170212766	2.6595744680851063	category(Creole != Niger-Congo, dom=0.87); region(Indian Ocean != Africa, dom=0.91)
seychellois-creole	Seychellois Creole	Indian Ocean	French-based	Creole	152	Tswana	54	Niger-Congo	0.7777777777777778	Niger-Congo	0.7962962962962963	Africa	0.9444444444444444	0.9444444444444444	region(Indian Ocean != Africa, dom=0.94)
kurichiya	Kurichiya	Asia	South Dravidian	Dravidian	252	Lao	70	Tai-Kadai	0.6571428571428571	Tai-Kadai	0.8857142857142857	Asia	0.9	1.7714285714285714	category(Dravidian != Tai-Kadai, dom=0.89)
burushaski	Burushaski	Asia	Language isolate	Language isolate	55	Tamangic	19	Tamangic	0.47368421052631576	Sino-Tibetan	0.9473684210526315	Asia	0.7894736842105263	1.894736842105263	category(Language isolate != Sino-Tibetan, dom=0.95)
tai-lue	Tai Lue	Asia	Tai-Kadai	Tai-Kadai	369	Micronesian	52	Micronesian	0.1346153846153846	Papuan	0.6923076923076923	Pacific	0.8653846153846154	0.8653846153846154	region(Asia != Pacific, dom=0.87)
southern-thai	Southern Thai	Asia	Tai-Kadai	Tai-Kadai	370	Central Pacific	52	Polynesian	0.21153846153846154	Papuan	0.5	Pacific	0.8846153846153846	0.8846153846153846	region(Asia != Pacific, dom=0.88)
burmese	Burmese	Southeast Asia	Tibeto-Burman	Sino-Tibetan	251	Thai	89	Tai-Kadai	0.5280898876404494	Tai-Kadai	0.6853932584269663	Asia	0.9325842696629213	0.9325842696629213	region(Southeast Asia != Asia, dom=0.93)
rakhine	Rakhine	Southeast Asia	Tibeto-Burman	Sino-Tibetan	201	Bengali	82	Indo-Aryan	0.15853658536585366	Indo-Aryan	0.7926829268292683	Asia	0.9634146341463414	0.9634146341463414	region(Southeast Asia != Asia, dom=0.96)
hmn	Hmong	Southeast Asia	Hmongic	Hmong-Mien	252	Lao	70	Tai-Kadai	0.6571428571428571	Tai-Kadai	0.8857142857142857	Asia	0.9	2.6714285714285713	category(Hmong-Mien != Tai-Kadai, dom=0.89); region(Southeast Asia != Asia, dom=0.90)
mji	Mien	Southeast Asia	Mienic	Hmong-Mien	252	Lao	70	Tai-Kadai	0.6571428571428571	Tai-Kadai	0.8857142857142857	Asia	0.9	2.6714285714285713	category(Hmong-Mien != Tai-Kadai, dom=0.89); region(Southeast Asia != Asia, dom=0.90)
zha	Zhuang	East Asia	Tai	Tai-Kadai	251	Thai	89	Tai-Kadai	0.5280898876404494	Tai-Kadai	0.6853932584269663	Asia	0.9325842696629213	0.9325842696629213	region(East Asia != Asia, dom=0.93)
zha	Zhuang	East Asia	Tai	Tai-Kadai	252	Lao	70	Tai-Kadai	0.6571428571428571	Tai-Kadai	0.8857142857142857	Asia	0.9	0.9	region(East Asia != Asia, dom=0.90)
shn	Shan	Southeast Asia	Tai	Tai-Kadai	251	Thai	89	Tai-Kadai	0.5280898876404494	Tai-Kadai	0.6853932584269663	Asia	0.9325842696629213	0.9325842696629213	region(Southeast Asia != Asia, dom=0.93)
shn	Shan	Southeast Asia	Tai	Tai-Kadai	252	Lao	70	Tai-Kadai	0.6571428571428571	Tai-Kadai	0.8857142857142857	Asia	0.9	0.9	region(Southeast Asia != Asia, dom=0.90)
mni	Meitei	South Asia	Tibeto-Burman	Sino-Tibetan	252	Lao	70	Tai-Kadai	0.6571428571428571	Tai-Kadai	0.8857142857142857	Asia	0.9	2.6714285714285713	category(Sino-Tibetan != Tai-Kadai, dom=0.89); region(South Asia != Asia, dom=0.90)
kharia	Kharia	Asia	Munda	Austroasiatic	252	Lao	70	Tai-Kadai	0.6571428571428571	Tai-Kadai	0.8857142857142857	Asia	0.9	1.7714285714285714	category(Austroasiatic != Tai-Kadai, dom=0.89)
mundari	Mundari	Asia	Munda	Austroasiatic	252	Lao	70	Tai-Kadai	0.6571428571428571	Tai-Kadai	0.8857142857142857	Asia	0.9	1.7714285714285714	category(Austroasiatic != Tai-Kadai, dom=0.89)
kha	Khasi	Asia	Khasic	Austroasiatic	194	Indonesian	134	Formosan	0.21641791044776118	Papuan	0.5970149253731343	Pacific	0.917910447761194	0.917910447761194	region(Asia != Pacific, dom=0.92)
jeh-bahnaric	Jeh	Asia	Bahnaric	Austroasiatic	194	Indonesian	134	Formosan	0.21641791044776118	Papuan	0.5970149253731343	Pacific	0.917910447761194	0.917910447761194	region(Asia != Pacific, dom=0.92)
jru-bahnaric	Jru'	Asia	Bahnaric	Austroasiatic	194	Indonesian	134	Formosan	0.21641791044776118	Papuan	0.5970149253731343	Pacific	0.917910447761194	0.917910447761194	region(Asia != Pacific, dom=0.92)
kaco-bahnaric	Kaco'	Asia	Bahnaric	Austroasiatic	194	Indonesian	134	Formosan	0.21641791044776118	Papuan	0.5970149253731343	Pacific	0.917910447761194	0.917910447761194	region(Asia != Pacific, dom=0.92)
ga	Ga	Africa	Ga–Dangme	Niger-Congo	121	Ga	15	Niger-Congo	0.8666666666666667	Niger-Congo	1	Africa	1	2.6	family(Ga–Dangme != Niger-Congo, dom=0.87)
fon	Fon	Africa	Gbe	Niger-Congo	122	Fon	13	Niger-Congo	0.9230769230769231	Niger-Congo	1	Africa	1	2.769230769230769	family(Gbe != Niger-Congo, dom=0.92)
forro-creole	Forro Creole	Gulf of Guinea	Portuguese-based	Creole	151	Sesotho	53	Niger-Congo	0.9056603773584906	Niger-Congo	0.9433962264150944	Africa	0.9433962264150944	5.547169811320755	family(Portuguese-based != Niger-Congo, dom=0.91); category(Creole != Niger-Congo, dom=0.94); region(Gulf of Guinea != Africa, dom=0.94)
principense-creole	Principense Creole	Gulf of Guinea	Portuguese-based	Creole	146	Lingala	45	Niger-Congo	0.6666666666666666	Niger-Congo	0.7555555555555555	Africa	0.8888888888888888	0.8888888888888888	region(Gulf of Guinea != Africa, dom=0.89)
pipil	Pipil (Nawat)	Central America	Uto-Aztecan	Uto-Aztecan	169	Mazatec	8	Oto-Manguean	0.75	Oto-Manguean	0.75	Mesoamerica	0.875	0.875	region(Central America != Mesoamerica, dom=0.88)
fanagalo	Fanagalo	Misc	Pidgin	Pidgin	149	Zulu	47	Niger-Congo	0.7659574468085106	Niger-Congo	0.8723404255319149	Africa	0.9148936170212766	2.6595744680851063	category(Pidgin != Niger-Congo, dom=0.87); region(Misc != Africa, dom=0.91)
kituba	Kituba	Misc	Kongo-based	Creole	146	Lingala	45	Niger-Congo	0.6666666666666666	Niger-Congo	0.7555555555555555	Africa	0.8888888888888888	0.8888888888888888	region(Misc != Africa, dom=0.89)
kituba	Kituba	Misc	Kongo-based	Creole	153	Kongo	41	Niger-Congo	0.7073170731707317	Niger-Congo	0.8048780487804879	Africa	0.9512195121951219	0.9512195121951219	region(Misc != Africa, dom=0.95)
nagamese	Nagamese	Misc	Assamese-based	Creole	183	Hindi	94	Indo-Aryan	0.2872340425531915	Indo-Aryan	0.8297872340425532	Asia	0.9468085106382979	0.9468085106382979	region(Misc != Asia, dom=0.95)
nagamese	Nagamese	Misc	Assamese-based	Creole	257	Assamese	44	Bengali–Assamese	0.2727272727272727	Indo-Aryan	0.75	Asia	0.9545454545454546	0.9545454545454546	region(Misc != Asia, dom=0.95)
nefamese	Nefamese	Misc	Pidgin	Pidgin	201	Bengali	82	Indo-Aryan	0.15853658536585366	Indo-Aryan	0.7926829268292683	Asia	0.9634146341463414	0.9634146341463414	region(Misc != Asia, dom=0.96)
nefamese	Nefamese	Misc	Pidgin	Pidgin	257	Assamese	44	Bengali–Assamese	0.2727272727272727	Indo-Aryan	0.75	Asia	0.9545454545454546	0.9545454545454546	region(Misc != Asia, dom=0.95)
guinea-bissau-creole	Guinea-Bissau Creole	Upper Guinea	Portuguese-based	Creole	8	Roman	78	Daco-Romanian	0.10256410256410256	Romance	0.7948717948717948	Europe	0.8589743589743589	0.8589743589743589	region(Upper Guinea != Europe, dom=0.86)
guinea-bissau-creole	Guinea-Bissau Creole	Upper Guinea	Portuguese-based	Creole	307	West African English Creole	13	English-based	0.9230769230769231	Creole	0.7692307692307693	Africa	0.6153846153846154	2.769230769230769	family(Portuguese-based != English-based, dom=0.92)
naga	Naga	Sino-Tibetan region	Sino-Tibetan	Sino-Tibetan	251	Thai	89	Tai-Kadai	0.5280898876404494	Tai-Kadai	0.6853932584269663	Asia	0.9325842696629213	0.9325842696629213	region(Sino-Tibetan region != Asia, dom=0.93)
konyak	Konyak	Sino-Tibetan region	Sino-Tibetan	Sino-Tibetan	251	Thai	89	Tai-Kadai	0.5280898876404494	Tai-Kadai	0.6853932584269663	Asia	0.9325842696629213	0.9325842696629213	region(Sino-Tibetan region != Asia, dom=0.93)
lus	Mizo	South Asia	Tibeto-Burman	Sino-Tibetan	252	Lao	70	Tai-Kadai	0.6571428571428571	Tai-Kadai	0.8857142857142857	Asia	0.9	2.6714285714285713	category(Sino-Tibetan != Tai-Kadai, dom=0.89); region(South Asia != Asia, dom=0.90)
mlg	Malagasy	Africa	Malayo-Polynesian	Austronesian	369	Micronesian	52	Micronesian	0.1346153846153846	Papuan	0.6923076923076923	Pacific	0.8653846153846154	0.8653846153846154	region(Africa != Pacific, dom=0.87)
bug	Buginese	Southeast Asia	Malayo-Polynesian	Austronesian	369	Micronesian	52	Micronesian	0.1346153846153846	Papuan	0.6923076923076923	Pacific	0.8653846153846154	0.8653846153846154	region(Southeast Asia != Pacific, dom=0.87)
mak	Makassarese	Southeast Asia	Malayo-Polynesian	Austronesian	369	Micronesian	52	Micronesian	0.1346153846153846	Papuan	0.6923076923076923	Pacific	0.8653846153846154	0.8653846153846154	region(Southeast Asia != Pacific, dom=0.87)
bbc	Toba Batak	Southeast Asia	Malayo-Polynesian	Austronesian	194	Indonesian	134	Formosan	0.21641791044776118	Papuan	0.5970149253731343	Pacific	0.917910447761194	0.917910447761194	region(Southeast Asia != Pacific, dom=0.92)
north-new-guinea	North New Guinea	Pacific	Austronesian	Austronesian	520	North New Guinea	20	Southeast Papuan	0.7	Papuan	0.9	Pacific	1	1.8	category(Austronesian != Papuan, dom=0.90)
classical-arabic	Classical Arabic	Middle East	Literary	Afroasiatic	8	Roman	78	Daco-Romanian	0.10256410256410256	Romance	0.7948717948717948	Europe	0.8589743589743589	0.8589743589743589	region(Middle East != Europe, dom=0.86)
