list	list_title	list_source	name	iso	status	detail	candidates	in_catalog	in_mixer_map
tools/mixer-meta/wikipedia-australian-families-and-isolates.json	Wikipedia: Australian language families and isolates	https://en.wikipedia.org/wiki/Australian_Aboriginal_languages	Gaagudju	gbu	missing-catalog	Missing from both catalog and mixer map		false	false
tools/mixer-meta/wikipedia-australian-families-and-isolates.json	Wikipedia: Australian language families and isolates	https://en.wikipedia.org/wiki/Australian_Aboriginal_languages	Kungarakany	ggk	missing-catalog	Missing from both catalog and mixer map		false	false
tools/mixer-meta/wikipedia-australian-families-and-isolates.json	Wikipedia: Australian language families and isolates	https://en.wikipedia.org/wiki/Australian_Aboriginal_languages	Laragia	lrg	missing-catalog	Missing from both catalog and mixer map		false	false
tools/mixer-meta/wikipedia-australian-families-and-isolates.json	Wikipedia: Australian language families and isolates	https://en.wikipedia.org/wiki/Australian_Aboriginal_languages	Minkin	xxm	missing-catalog	Missing from both catalog and mixer map		false	false
tools/mixer-meta/wikipedia-australian-families-and-isolates.json	Wikipedia: Australian language families and isolates	https://en.wikipedia.org/wiki/Australian_Aboriginal_languages	Umbugarla	umr	missing-catalog	Missing from both catalog and mixer map		false	false
tools/mixer-meta/wikipedia-australian-families-and-isolates.json	Wikipedia: Australian language families and isolates	https://en.wikipedia.org/wiki/Australian_Aboriginal_languages	Wadjiginy	wdj	missing-catalog	Missing from both catalog and mixer map		false	false
tools/mixer-meta/wikipedia-australian-families-and-isolates.json	Wikipedia: Australian language families and isolates	https://en.wikipedia.org/wiki/Australian_Aboriginal_languages	Wageman	waq	missing-catalog	Missing from both catalog and mixer map		false	false
tools/mixer-meta/wikipedia-formosan-languages-li-2008.json	Wikipedia: Formosan language families - Li (2008)	https://en.wikipedia.org/wiki/Formosan_languages	Mantauran Rukai	rukai-mantauran	missing-catalog	Missing from both catalog and mixer map		false	false
tools/mixer-meta/wikipedia-formosan-languages-li-2008.json	Wikipedia: Formosan language families - Li (2008)	https://en.wikipedia.org/wiki/Formosan_languages	Maga-Tona Rukai	rukai-maga-tona	missing-catalog	Missing from both catalog and mixer map		false	false
tools/mixer-meta/wikipedia-formosan-languages-li-2008.json	Wikipedia: Formosan language families - Li (2008)	https://en.wikipedia.org/wiki/Formosan_languages	Budai-Labuan-Taromak Rukai	rukai-budai-labuan-taromak	missing-catalog	Missing from both catalog and mixer map		false	false
